Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
2641	2696	26508	R-HSA-1643685_9	R-HSA-1643685	GCG	GIPR	HEYL
2641	2740	26508	R-HSA-1643685_9	R-HSA-1643685	GCG	GLP1R	HEYL
2641	7253	26508	R-HSA-1643685_9	R-HSA-1643685	GCG	TSHR	HEYL
2691	2692	26508	R-HSA-1643685_9	R-HSA-1643685	GHRH	GHRHR	HEYL
2695	117	26508	R-HSA-1643685_9	R-HSA-1643685	GIP	ADCYAP1R1	HEYL
2695	2696	26508	R-HSA-1643685_9	R-HSA-1643685	GIP	GIPR	HEYL
2695	7253	26508	R-HSA-1643685_9	R-HSA-1643685	GIP	TSHR	HEYL
27006	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF22	FGFR1	HEYL
27006	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF22	FGFR2	HEYL
3082	4233	26508	R-HSA-1643685_3	R-HSA-1643685	HGF	MET	HEYL
3084	2066	26508	R-HSA-1643685_4	R-HSA-1643685	NRG1	ERBB4	HEYL
374	1956	26508	R-HSA-1643685_3	R-HSA-1643685	AREG	EGFR	HEYL
374	2065	26508	R-HSA-1643685_4	R-HSA-1643685	AREG	ERBB3	HEYL
4254	3815	26508	R-HSA-1643685_5	R-HSA-1643685	KITLG	KIT	HEYL
5154	5156	26508	R-HSA-1643685_4	R-HSA-1643685	PDGFA	PDGFRA	HEYL
5154	5159	26508	R-HSA-1643685_5	R-HSA-1643685	PDGFA	PDGFRB	HEYL
5155	5156	26508	R-HSA-1643685_4	R-HSA-1643685	PDGFB	PDGFRA	HEYL
5155	5159	26508	R-HSA-1643685_5	R-HSA-1643685	PDGFB	PDGFRB	HEYL
5443	117	26508	R-HSA-1643685_9	R-HSA-1643685	POMC	ADCYAP1R1	HEYL
5443	4158	26508	R-HSA-1643685_9	R-HSA-1643685	POMC	MC2R	HEYL
5443	7253	26508	R-HSA-1643685_9	R-HSA-1643685	POMC	TSHR	HEYL
551	554	26508	R-HSA-1643685_9	R-HSA-1643685	AVP	AVPR2	HEYL
5741	5745	26508	R-HSA-1643685_9	R-HSA-1643685	PTH	PTH1R	HEYL
5744	5745	26508	R-HSA-1643685_9	R-HSA-1643685	PTHLH	PTH1R	HEYL
6019	59350	26508	R-HSA-1643685_9	R-HSA-1643685	RLN2	RXFP1	HEYL
685	1956	26508	R-HSA-1643685_3	R-HSA-1643685	BTC	EGFR	HEYL
685	2066	26508	R-HSA-1643685_4	R-HSA-1643685	BTC	ERBB4	HEYL
7039	1956	26508	R-HSA-1643685_3	R-HSA-1643685	TGFA	EGFR	HEYL
7039	2064	26508	R-HSA-1643685_4	R-HSA-1643685	TGFA	ERBB2	HEYL
7039	2065	26508	R-HSA-1643685_4	R-HSA-1643685	TGFA	ERBB3	HEYL
7039	2066	26508	R-HSA-1643685_4	R-HSA-1643685	TGFA	ERBB4	HEYL
7252	117	26508	R-HSA-1643685_9	R-HSA-1643685	TSHB	ADCYAP1R1	HEYL
7252	7253	26508	R-HSA-1643685_9	R-HSA-1643685	TSHB	TSHR	HEYL
7432	117	26508	R-HSA-1643685_9	R-HSA-1643685	VIP	ADCYAP1R1	HEYL
